axis,case_value,city,budget,days,interests,transport,month,top_5_places,top_5_categories,avg_preference_match,avg_budget_fit,avg_travel_fit,avg_seasonality,estimated_total_cost,remaining_budget,budget_utilization_pct,scheduled_stops,budget_constraint_status
budget,200,Riyadh,200,3,Culture & Heritage | Food | Nature,driving,9,Donut House | Al Masaa Cafe | Entrecôte Café de Paris | Coffee Day | Al Mayass,cafe | cafe | restaurant | cafe | restaurant,1.0,0.369,0.9003,0.6667,175.0,25.0,87.5,5.0,binding
budget,300,Riyadh,300,3,Culture & Heritage | Food | Nature,driving,9,Donut House | Al Masaa Cafe | Entrecôte Café de Paris | Coffee Day | Al Mayass,cafe | cafe | restaurant | cafe | restaurant,1.0,0.5536,0.9003,0.6667,290.0,10.0,96.7,7.0,binding
budget,500,Riyadh,500,3,Culture & Heritage | Food | Nature,driving,9,Donut House | Al Masaa Cafe | Entrecôte Café de Paris | Coffee Day | Al Mayass,cafe | cafe | restaurant | cafe | restaurant,1.0,0.8083,0.9003,0.6667,500.0,0.0,100.0,10.0,partially_binding
budget,1000,Riyadh,1000,3,Culture & Heritage | Food | Nature,driving,9,Donut House | Entrecôte Café de Paris | Al Masaa Cafe | Al Mayass | Coffee Day,cafe | restaurant | cafe | restaurant | cafe,1.0,1.0,0.9003,0.6667,675.0,325.0,67.5,12.0,non_binding
budget,10000,Riyadh,10000,3,Culture & Heritage | Food | Nature,driving,9,Donut House | Entrecôte Café de Paris | Al Masaa Cafe | Al Mayass | Coffee Day,cafe | restaurant | cafe | restaurant | cafe,1.0,1.0,0.9003,0.6667,675.0,9325.0,6.8,12.0,non_binding
interests,culture,Riyadh,1000,3,Culture & Heritage,driving,9,Palace wall | دار الرياض | Light Calligraphy | الادارة hr | Sumeasi,attraction | attraction | attraction | attraction | attraction,0.48,1.0,0.6704,0.6667,400.0,600.0,40.0,8.0,non_binding
interests,food,Riyadh,1000,3,Food,driving,9,Donut House | Entrecôte Café de Paris | Al Masaa Cafe | Al Mayass | Coffee Day,cafe | restaurant | cafe | restaurant | cafe,1.0,1.0,0.9003,0.6667,690.0,310.0,69.0,12.0,non_binding
interests,nature,Riyadh,1000,3,Nature,driving,9,وادي خنيفه | وادي حنيفة | دار الرياض | Light Calligraphy | الادارة hr,attraction | attraction | attraction | attraction | attraction,0.61,1.0,0.6427,0.6667,400.0,600.0,40.0,8.0,non_binding
interests,mixed,Riyadh,1000,3,Culture & Heritage | Food | Nature,driving,9,Donut House | Entrecôte Café de Paris | Al Masaa Cafe | Al Mayass | Coffee Day,cafe | restaurant | cafe | restaurant | cafe,1.0,1.0,0.9003,0.6667,675.0,325.0,67.5,12.0,non_binding
transport,walking,Riyadh,1000,3,Culture & Heritage | Food | Nature,walking,9,Donut House | Entrecôte Café de Paris | Al Masaa Cafe | Al Mayass | Coffee Day,cafe | restaurant | cafe | restaurant | cafe,1.0,1.0,0.6443,0.6667,675.0,325.0,67.5,12.0,non_binding
transport,public_transit,Riyadh,1000,3,Culture & Heritage | Food | Nature,public_transit,9,Donut House | Entrecôte Café de Paris | Al Masaa Cafe | Al Mayass | Coffee Day,cafe | restaurant | cafe | restaurant | cafe,1.0,1.0,0.8719,0.6667,675.0,325.0,67.5,12.0,non_binding
transport,driving,Riyadh,1000,3,Culture & Heritage | Food | Nature,driving,9,Donut House | Entrecôte Café de Paris | Al Masaa Cafe | Al Mayass | Coffee Day,cafe | restaurant | cafe | restaurant | cafe,1.0,1.0,0.9003,0.6667,675.0,325.0,67.5,12.0,non_binding
month,1,Riyadh,1000,3,Culture & Heritage | Food | Nature,driving,1,Donut House | Entrecôte Café de Paris | Al Masaa Cafe | Al Mayass | Coffee Day,cafe | restaurant | cafe | restaurant | cafe,1.0,1.0,0.9003,0.8133,675.0,325.0,67.5,12.0,non_binding
month,4,Riyadh,1000,3,Culture & Heritage | Food | Nature,driving,4,Donut House | Entrecôte Café de Paris | Al Masaa Cafe | Al Mayass | Coffee Day,cafe | restaurant | cafe | restaurant | cafe,1.0,1.0,0.9003,0.0,675.0,325.0,67.5,12.0,non_binding
month,7,Riyadh,1000,3,Culture & Heritage | Food | Nature,driving,7,Donut House | Entrecôte Café de Paris | Al Masaa Cafe | Al Mayass | Coffee Day,cafe | restaurant | cafe | restaurant | cafe,1.0,1.0,0.9003,0.4622,675.0,325.0,67.5,12.0,non_binding
month,10,Riyadh,1000,3,Culture & Heritage | Food | Nature,driving,10,Donut House | Entrecôte Café de Paris | Al Masaa Cafe | Al Mayass | Coffee Day,cafe | restaurant | cafe | restaurant | cafe,1.0,1.0,0.9003,0.856,675.0,325.0,67.5,12.0,non_binding
city,Riyadh,Riyadh,1000,3,Culture & Heritage | Food | Nature,driving,9,Donut House | Entrecôte Café de Paris | Al Masaa Cafe | Al Mayass | Coffee Day,cafe | restaurant | cafe | restaurant | cafe,1.0,1.0,0.9003,0.6667,675.0,325.0,67.5,12.0,non_binding
city,Makkah,Makkah,1000,3,Culture & Heritage | Food | Nature,driving,9,Al Tazaj Restaurant Aziziyah | Overdose Coffee Makkah Mall | Al Romansiah Restaurant Makkah | Abraj Al Bait & Clock Tower Museum | Half Million Coffee Makkah,restaurant | cafe | restaurant | attraction | cafe,1.0,0.9961,0.8002,0.0,563.0,437.0,56.3,12.0,partially_binding
city,Madinah,Madinah,1000,3,Culture & Heritage | Food | Nature,driving,9,Al Baik Madinah Central | Overdose Coffee Madinah Central | The International Fair and Museum of Prophet's Biography | Applebee's Sultana Madinah | Beano's Cafe Madinah,restaurant | cafe | attraction | restaurant | cafe,1.0,0.9961,0.6408,0.0,460.0,540.0,46.0,12.0,partially_binding
city,Jeddah,Jeddah,1000,3,Culture & Heritage | Food | Nature,driving,9,Medd Cafe & Roastery Al-Balad | Al Baik Al Andalus Jeddah | Historic Al-Balad (UNESCO World Heritage) | Bohemia Art Cafe Jeddah | Section-B Burger Jeddah,cafe | restaurant | attraction | cafe | restaurant,1.0,1.0,0.7325,0.0,585.0,415.0,58.5,12.0,partially_binding
city,Abha,Abha,1000,3,Culture & Heritage | Food | Nature,driving,9,Overdose Coffee High City Abha | Al Romansiah Restaurant Abha | Shada Archaeological Palace | indIan food | قلعة شمسان التاريخية,cafe | restaurant | attraction | restaurant | attraction,1.0,1.0,0.9239,0.2633,618.0,382.0,61.8,12.0,non_binding
days,1,Riyadh,1000,1,Culture & Heritage | Food | Nature,driving,9,Donut House | Entrecôte Café de Paris | Al Masaa Cafe | Al Mayass | Coffee Day,cafe | restaurant | cafe | restaurant | cafe,1.0,1.0,0.9003,0.6667,255.0,745.0,25.5,6.0,non_binding
days,3,Riyadh,1000,3,Culture & Heritage | Food | Nature,driving,9,Donut House | Entrecôte Café de Paris | Al Masaa Cafe | Al Mayass | Coffee Day,cafe | restaurant | cafe | restaurant | cafe,1.0,1.0,0.9003,0.6667,675.0,325.0,67.5,12.0,non_binding
days,5,Riyadh,1000,5,Culture & Heritage | Food | Nature,driving,9,Donut House | Al Masaa Cafe | Entrecôte Café de Paris | Coffee Day | Al Mayass,cafe | cafe | restaurant | cafe | restaurant,1.0,0.85,0.9003,0.6667,955.0,45.0,95.5,17.0,partially_binding
accessibility,standard,Riyadh,1000,3,Culture & Heritage | Food | Nature,driving,9,Donut House | Entrecôte Café de Paris | Al Masaa Cafe | Al Mayass | Coffee Day,cafe | restaurant | cafe | restaurant | cafe,1.0,1.0,0.9003,0.6667,675.0,325.0,67.5,12.0,non_binding
accessibility,strict,Riyadh,1000,3,Culture & Heritage | Food | Nature,driving,9,,,,,,,,,,,
